first_name;last_name;full_name;code;position;lettre
Gabe;Vincent;Gabe Vincent;vincega;G;v
Garrett;Temple;Garrett Temple;templga;G;t
Garrison;Mathews;Garrison Mathews;mathega;SG;m
Gary;Clark;Gary Clark;clarkga;SF;c
Gary;Harris;Gary Harris;harriga;SG;h
Gary;Trent,;Gary Trent,;trentga;SG;t
George;Hill;George Hill;hillge;G;h
Georges;Niang;Georges Niang;niangge;F;n
Giannis;Antetokounmpo;Giannis Antetokounmpo;antetgi;F;a
Glenn;Robinson;Glenn Robinson;robingl;SF;r
Goga;Bitadze;Goga Bitadze;bitadgo;C;b
Goran;Dragic;Goran Dragic;dragigo;G;d
Gordon;Hayward;Gordon Hayward;haywago;GF;h
Gorgui;Dieng;Gorgui Dieng;dienggo;FC;d
Grant;Riller;Grant Riller;rillegr;SG;r
Grant;Williams;Grant Williams;willigr;SF;w
Grayson;Allen;Grayson Allen;allengr;SG;a
Greg;Whittington;Greg Whittington;whittgr;PF;w
Hamidou;Diallo;Hamidou Diallo;diallha;SG;d
Harrison;Barnes;Harrison Barnes;barneha;SF;b
Harry;Giles;Harry Giles;gilesha;PF;g
Hassan;Whiteside;Hassan Whiteside;whiteha;C;w
