;Key;annee;cluster
677;Ja Morant;2021;3
678;Ja Morant;2022;3
679;JaMychal Green;2020;0
680;JaMychal Green;2021;4
681;JaMychal Green;2022;0
682;JaVale McGee;2020;1
683;JaVale McGee;2021;0
684;JaVale McGee;2022;4
685;Jabari Parker;2020;1
686;Jabari Parker;2021;4
687;Jabari Parker;2022;0
688;Jaden McDaniels;2020;0
689;Jaden McDaniels;2021;4
690;Jaden McDaniels;2022;4
691;Jaden Springer;2022;4
692;Jae Crowder;2020;1
693;Jae Crowder;2021;1
694;Jae Crowder;2022;1
695;JaeSean Tate;2021;1
696;JaeSean Tate;2022;3
697;Jahmius Ramsey;2021;4
698;Jahmius Ramsey;2022;4
699;Jake Layman;2020;0
700;Jake Layman;2021;4
701;Jake Layman;2022;4
702;Jakob Poeltl;2020;4
703;Jakob Poeltl;2021;1
704;Jakob Poeltl;2022;1
705;Jalen Brunson;2020;4
706;Jalen Brunson;2021;4
707;Jalen Brunson;2022;1
708;Jalen Green;2020;0
709;Jalen Green;2021;4
710;Jalen Green;2022;4
711;Jalen Johnson;2020;4
712;Jalen Johnson;2021;4
713;Jalen Johnson;2022;4
714;Jalen Suggs;2022;3
715;Jamal Murray;2020;3
716;Jamal Murray;2021;3
717;James Bouknight;2022;4
718;James EnnisI;2020;4
719;James EnnisI;2021;1
720;James EnnisI;2022;4
721;James Harden;2020;3
722;James Harden;2021;3
723;James Harden;2022;3
724;James Johnson;2020;4
725;James Johnson;2021;4
726;James Johnson;2022;4
727;James Nunnally;2021;0
728;James Wiseman;2021;1
729;Jamorko Pickett;2022;0
730;Jaren Jackson;2020;1
731;Jaren Jackson;2021;4
732;Jaren Jackson;2022;1
733;Jarred Vanderbilt;2020;0
734;Jarred Vanderbilt;2021;4
735;Jarred Vanderbilt;2022;1
736;Jarrell Brantley;2020;4
737;Jarrell Brantley;2021;4
738;Jarrett Allen;2020;1
739;Jarrett Allen;2021;4
740;Jarrett Allen;2022;1
741;Jarrett Culver;2020;1
742;Jarrett Culver;2021;0
743;Jarrett Culver;2022;0
744;Javonte Green;2020;1
745;Javonte Green;2021;1
746;Javonte Smart;2022;0
747;Jaxson Hayes;2020;0
748;Jaxson Hayes;2021;4
749;Jaxson Hayes;2022;0
750;Jay Huff;2022;4
751;Jay Scrubb;2021;4
752;Jay Scrubb;2022;0
753;Jaylen Brown;2020;3
