;full_name;Tm;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;POS;GS;code
198;JaMychal Green;den;15.65;2.0;2.0;31.0;5.15;0.8;2.3;0.2199297248036744;PF;0;PFden0
199;JaMychal Green;den;15.65;2.0;2.0;31.0;5.15;0.8;2.3;0.2199297248036744;PF;0;PFden0
200;JaMychal Green;den;15.65;2.0;2.0;31.0;5.15;0.8;2.3;0.2199297248036744;PF;0;PFden0
201;JaMychal Green;den;15.65;2.0;2.0;31.0;5.15;0.8;2.3;0.2199297248036744;PF;0;PFden0
202;JaVale McGee;pho;17.36;3.0;1.0;33.0;7.44;1.4;3.0;0.7534898107986939;C;0;Cpho0
203;Jabari Parker;;9.0;;2.0;26.0;3.0;0.2;0.8;0.35508578431372545;;0;nannan0
204;Jaden McDaniels;min;17.142857142857142;3.0;1.0;23.0;5.428571428571429;0.8095238095238095;1.5714285714285714;0.19789071220214277;PF;0;PFmin0
205;Jae Crowder;pho;28.571428571428573;3.0;4.0;31.0;8.619047619047619;0.9523809523809523;2.238095238095238;0.21236849138507954;PF;1;PFpho1
206;JaeSean Tate;hou;27.236842105263158;0.0;3.0;25.894736842105264;9.526315789473685;1.8421052631578947;3.6052631578947367;0.33665470437151024;SF;1;SFhou1
207;Jahmius Ramsey;sac;6.0;0.0;1.0;20.0;2.6666666666666665;0.16666666666666666;0.4166666666666667;0.25544217687074827;SG;0;SGsac0
208;Jake Layman;min;5.538461538461538;3.0;1.0;27.0;1.8461538461538463;0.3076923076923077;0.3076923076923077;-0.06969734117903456;SF;0;SFmin0
209;Jakob Poeltl;sa;28.64516129032258;0.0;4.0;26.0;9.709677419354838;1.7419354838709677;3.161290322580645;0.5675241896747351;C;1;Csa1
210;Jalen Brunson;dal;31.375;2.0;4.0;25.0;13.84375;1.6875;1.9375;0.4601939389732625;PG;0;PGdal0
211;Jalen Green;hou;14.642857142857142;0.0;1.0;31.0;4.857142857142857;1.0;2.1785714285714284;0.21992972480367443;SG;0;SGhou0
212;Jalen Green;hou;14.642857142857142;0.0;1.0;31.0;4.857142857142857;1.0;2.1785714285714284;0.21992972480367443;SG;0;SGhou0
213;Jalen Green;hou;14.642857142857142;0.0;1.0;31.0;4.857142857142857;1.0;2.1785714285714284;0.21992972480367443;SG;0;SGhou0
214;Jalen Green;hou;14.642857142857142;0.0;1.0;31.0;4.857142857142857;1.0;2.1785714285714284;0.21992972480367443;SG;0;SGhou0
